,adj_close_BAC,high_BAC,low_BAC,open_BAC,volume_BAC,adj_close_AAPL,high_AAPL,low_AAPL,open_AAPL,volume_AAPL,adj_close_AMZN,high_AMZN,low_AMZN,open_AMZN,volume_AMZN,adj_close_QCOM,high_QCOM,low_QCOM,open_QCOM,volume_QCOM,close_price_$NDX,close_price_$SPX
1486368000,23.12,23.38,23.07,23.15,91847167.0,130.29,130.5,128.9,128.95,26627333.0,807.64,810.72,803.0,809.8,3811946.0,52.88,53.41,52.82,53.31,8006984.0,1013.690002,2297.419922
1486108800,23.29,23.35,22.95,23.15,115977015.0,129.08,129.19,128.16,128.31,24507301.0,810.2,818.3,804.0,806.72,10868773.0,52.98,53.22,52.75,52.95,10965265.0,1013.690002,2297.419922
1486022400,22.72,22.79,22.51,22.74,88679063.0,128.53,129.39,127.78,127.975,33710411.0,839.95,842.49,828.26,836.59,7350492.0,52.66,53.0992,52.37,52.95,14481242.0,1006.150024,2280.850098
1485936000,22.89,23.22,22.82,22.97,103570051.0,128.75,130.49,127.01,127.03,111985040.0,832.35,833.78,824.94,829.21,3850181.0,53.15,53.8192,52.86,53.64,16102109.0,1006.330017,2279.550049
1485849600,22.64,23.025,22.5,22.77,90978767.0,121.35,121.39,120.62,121.15,49200993.0,823.48,826.99,819.56,823.75,3137196.0,53.43,53.64,52.83,53.61,13995448.0,1004.460022,2278.870117
1485763200,22.95,23.2,22.71,23.2,91521352.0,121.63,121.63,120.66,120.93,30377503.0,830.38,833.5,816.38,833.0,3747336.0,53.61,54.4,53.55,54.39,14853856.0,1006.940002,2280.899902
1485504000,23.36,23.45,23.28,23.43,54558089.0,121.95,122.35,121.6,122.14,20562944.0,835.77,839.7,829.44,839.0,2998700.0,54.24,54.76,54.0,54.65,23474353.0,1012.929993,2294.689941
1485417600,23.44,23.55,23.28,23.41,84103638.0,121.94,122.44,121.6,121.67,26337576.0,839.15,843.84,833.0,835.53,3586323.0,54.05,55.49,53.5,55.35,37888156.0,1013.119995,2296.679932
1485331200,23.37,23.42,23.1,23.32,99753317.0,121.88,122.1,120.28,120.42,32586673.0,836.52,837.4183,825.288,825.79,4023078.0,56.9,56.98,55.5,56.1,27969706.0,1013.23999,2298.370117
1485244800,22.95,23.095,22.48,22.61,98508678.0,119.97,120.1,119.5,119.55,23211038.0,822.44,823.99,814.5,822.0,2971740.0,55.0,55.7699,54.7,55.02,41751760.0,1004.98999,2280.070068
1485158400,22.56,22.76,22.415,22.62,61333028.0,120.08,120.81,119.77,120.0,22050218.0,817.88,818.5,805.08,806.8,2797474.0,54.88,58.67,53.77,58.67,94436001.0,1000.5,2265.199951
1484899200,22.64,22.93,22.52,22.66,102546886.0,120.0,120.45,119.7346,120.45,32597892.0,808.33,816.02,806.26,815.28,3376196.0,62.88,65.74,62.62,65.19,20936881.0,1003.039978,2271.310059
1484812800,22.53,22.81,22.41,22.73,75990836.0,119.78,120.09,119.37,119.4,25597291.0,809.04,813.51,807.32,810.0,2540784.0,64.44,65.4,64.36,64.97,9429206.0,1000.109985,2263.689941
1484726400,22.63,22.65,22.1,22.3,124323059.0,119.99,120.5,119.71,120.0,23712961.0,807.48,811.73,804.27,809.5,2354201.0,65.13,66.09,63.81,64.67,15883201.0,1003.849976,2271.889893
1484640000,22.05,22.79,22.01,22.68,152495923.0,120.0,120.24,118.22,118.34,34439843.0,809.72,816.0,803.44,815.7,3670529.0,64.19,66.97,63.15,66.71,22426310.0,1003.169983,2267.889893
1484294400,23.01,23.409,22.8,23.21,161874990.0,119.04,119.62,118.81,119.11,26111948.0,817.14,821.65,811.4,814.32,3791945.0,66.88,67.08,66.16,66.25,6177365.0,1006.590027,2274.639893
1484208000,22.92,23.12,22.61,23.01,120274108.0,119.25,119.3,118.21,118.895,27086220.0,813.64,814.13,799.5,800.31,4873922.0,66.12,66.18,65.0546,65.35,6113613.0,1004.97998,2270.439941
1484121600,23.07,23.07,22.72,22.94,92385551.0,119.75,119.93,118.6,118.74,27588593.0,799.02,799.5,789.51,793.66,2992791.0,66.1,66.11,65.42,65.75,8349761.0,1006.929993,2275.320068
1484035200,22.94,23.14,22.54,22.59,100977665.0,119.11,119.38,118.3,118.77,24462051.0,795.9,798.0,789.5434,796.6,2558369.0,65.63,66.155,65.57,65.95,6076032.0,1004.48999,2268.899902
1483948800,22.55,22.71,22.4,22.51,75886389.0,118.99,119.43,117.94,117.95,33561948.0,796.92,801.7742,791.77,798.0,3446109.0,65.65,66.265,65.49,65.53,4769160.0,1005.650024,2268.899902
1483689600,22.68,22.85,22.56,22.78,66281476.0,117.91,118.16,116.47,116.78,31751900.0,795.99,799.44,778.48,782.36,5986234.0,65.53,65.87,64.8601,65.48,6749352.0,1008.150024,2276.97998
1483603200,22.68,22.93,22.345,22.82,86800397.0,116.61,116.8642,115.81,115.92,22193587.0,780.45,782.3999,760.2557,761.55,5830068.0,65.55,65.9764,65.05,65.21,5998898.0,1004.140015,2269.0
1483516800,22.95,22.96,22.6,22.72,76846195.0,116.02,116.51,115.75,115.85,21118116.0,757.18,759.68,754.2,758.39,2510526.0,65.47,65.95,65.26,65.67,6221655.0,1003.869995,2270.75
1483430400,22.53,22.68,22.2,22.6,99298080.0,116.15,116.33,114.76,115.8,28781865.0,753.67,758.7595,747.7,757.92,3521066.0,65.4,66.14,64.601,65.86,9519838.0,1000.599976,2257.830078
1483084800,22.1,22.26,21.95,22.02,72592692.0,115.82,117.2,115.43,116.65,30586265.0,749.87,767.3999,748.28,766.47,4139449.0,65.2,66.35,65.04,66.25,5941909.0,991.429993,2238.830078
1482998400,22.0,22.39,21.77,22.33,79188397.0,116.73,117.1095,116.4,116.45,15039519.0,765.15,773.4,760.85,772.4,3158299.0,66.04,66.08,65.42,65.5,3700771.0,996.289978,2249.26001
1482912000,22.33,22.67,22.26,22.62,52619447.0,116.76,118.0166,116.2,117.52,20905892.0,772.13,780.0,770.5,776.25,3301025.0,65.75,67.07,65.7,66.65,6547168.0,997.109985,2249.919922
1482825600,22.61,22.735,22.54,22.71,39968380.0,117.26,117.8,116.49,116.52,18296855.0,771.4,774.65,761.2,763.4,2638725.0,67.25,67.575,67.06,67.14,3028159.0,1003.969971,2268.879883
1482480000,22.6,22.65,22.43,22.51,38172533.0,116.52,116.52,115.59,115.59,14249484.0,760.59,766.5,757.99,764.55,1981616.0,66.86,66.94,66.521,66.89,3088052.0,1002.52002,2263.790039
1482393600,22.54,22.73,22.47,22.6,67089135.0,116.29,116.51,115.64,116.35,26085854.0,766.34,771.21,763.02,768.12,2543551.0,66.76,67.75,66.46,67.64,5900160.0,1001.909973,2260.959961
1482307200,22.63,22.72,22.47,22.72,61046690.0,117.06,117.4,116.78,116.8,23783165.0,770.6,771.22,765.7,770.0,2044629.0,67.16,67.35,66.82,67.07,5211362.0,1003.299988,2265.179932
1482220800,22.71,22.83,22.61,22.63,83879520.0,116.95,117.5,116.68,116.74,21424965.0,771.22,774.39,767.71,768.65,2703629.0,66.91,67.56,66.77,67.38,6685432.0,1005.97998,2270.76001
1482134400,22.48,22.72,22.33,22.6,97439884.0,116.64,117.38,115.75,115.8,27779423.0,766.0,770.5,756.16,758.89,3113240.0,67.02,67.43,66.6411,66.79,7884694.0,1002.330017,2262.530029
1481875200,22.66,23.32,22.65,23.32,147447864.0,115.97,116.5,115.645,116.47,44351134.0,757.77,765.13,754.0,765.0,4848219.0,66.46,68.49,66.3,68.49,18155575.0,999.890015,2258.070068
1481788800,23.16,23.39,22.8,22.9,162025814.0,115.82,116.73,115.23,115.38,46524544.0,761.0,769.1,760.31,766.28,3801927.0,68.03,68.77,67.31,68.1,7162470.0,1001.799988,2262.030029
1481702400,22.67,23.3,22.21,22.31,225253082.0,115.19,116.2,114.98,115.04,34031834.0,768.82,780.86,762.81,778.25,5454836.0,67.56,69.18,67.35,68.64,9957690.0,997.75,2253.280029
1481616000,22.61,22.88,22.29,22.8,118204085.0,115.19,115.92,113.75,113.84,43733811.0,774.34,782.46,762.0,764.96,5285288.0,69.34,70.24,68.49,68.72,8494227.0,1004.390015,2271.719971
1481529600,22.61,23.25,22.535,23.0,136869792.0,113.3,115.0,112.49,113.29,26374377.0,760.12,766.89,757.2,766.4,2963945.0,68.47,68.645,67.92,68.37,5615537.0,996.570007,2256.959961
1481270400,23.09,23.17,22.78,22.95,130590406.0,113.95,114.7,112.31,112.31,34402627.0,768.66,770.25,765.34,770.0,2470923.0,68.52,68.89,67.8,68.61,5551783.0,996.02002,2259.530029
1481184000,22.95,23.24,22.69,22.79,182492861.0,112.12,112.43,110.6,110.86,27068316.0,767.33,773.79,765.19,771.87,3189608.0,68.55,69.18,68.37,68.42,5552585.0,988.080017,2246.189941
1481097600,22.57,22.57,21.95,22.19,168005152.0,111.03,111.19,109.16,109.26,29998719.0,770.42,770.42,755.82,764.55,3684906.0,68.34,68.34,66.955,67.35,7202661.0,986.599976,2241.350098
1481011200,22.16,22.16,21.72,22.09,120789194.0,109.95,110.36,109.19,109.5,26195462.0,764.72,768.24,757.25,763.99,3794746.0,67.45,67.48,66.5,66.65,6701797.0,974.27002,2212.22998
1480924800,21.84,21.869,21.46,21.47,130377307.0,109.11,110.03,108.25,110.0,34324540.0,759.36,761.49,742.0,745.0,4314723.0,66.36,66.94,65.69,66.38,8708196.0,971.190002,2204.709961
1480665600,21.23,21.5,21.02,21.49,128447563.0,109.9,110.09,108.85,109.17,26527997.0,740.34,748.4903,736.7,743.4,3561307.0,65.84,66.33,63.95,64.16,9687015.0,966.280029,2191.949951
1480579200,21.5,21.94,21.34,21.42,199092169.0,109.49,110.94,109.03,110.365,37086862.0,743.65,753.37,738.03,752.41,4665993.0,64.16,67.92,63.78,67.72,16563896.0,966.609985,2191.080078
1480492800,21.12,21.19,20.72,20.77,191597643.0,110.52,112.2,110.27,111.56,36162258.0,750.57,768.09,750.25,762.0,4625946.0,68.13,68.31,66.5,66.8,12470027.0,968.840027,2198.810059
1480406400,20.2182024062,20.54,20.25,20.38,114159274.0,111.46,112.03,110.07,110.78,28528750.0,762.52,769.89,761.32,768.0,3272344.0,66.77,67.54,66.63,67.23,6544858.0,971.98999,2204.659912
1480320000,20.2281670205,20.85,20.25,20.67,108651231.0,111.57,112.465,111.39,111.43,27193983.0,766.77,777.0,764.24,776.99,4438828.0,67.1,67.7,66.8,67.42,8225168.0,970.72998,2201.719971
1480060800,20.7861854211,20.875,20.5,20.62,62610385.0,111.79,111.87,110.95,111.13,11475922.0,780.37,786.75,777.9,786.5,1837068.0,67.7548277392,68.42,67.71,68.16,4200136.0,975.25,2213.350098
1479888000,20.4872469922,20.66,20.2,20.5757,110936499.0,111.23,111.51,110.33,111.36,27426394.0,780.12,781.75,773.12,781.73,3540263.0,67.5960816206,68.5,67.75,68.33,4820254.0,971.090027,2204.719971
1479801600,20.2281670205,20.47,20.12,20.45,104720899.0,111.8,112.42,111.4,111.95,25965534.0,785.33,792.4,781.0,788.17,5311320.0,67.774671004,68.6,67.04,67.57,9803646.0,971.380005,2202.939941
1479715200,20.2580608634,20.35,20.01,20.1,117479106.0,111.73,111.99,110.01,110.12,29264571.0,780.0,780.35,765.11,766.0,4614574.0,66.5741534822,67.2,66.15,66.86,7868947.0,970.179993,2198.179932
1479456000,19.9292285916,20.14,19.87,20.06,120620238.0,110.06,110.54,109.66,109.72,28428917.0,760.16,767.74,757.6435,761.0,4373408.0,66.7825077628,67.455,65.94,66.68,9889299.0,963.130005,2181.899902
1479369600,20.008945506,20.22,19.705,19.76,167895828.0,109.95,110.35,108.83,109.81,27632003.0,756.4,757.5,748.0,749.32,3690112.0,66.1475232885,66.77,66.16,66.44,6982456.0,965.619995,2187.120117
1479283200,19.6801132343,19.96,19.68,19.78,126662472.0,109.99,110.23,106.6,106.7,58840522.0,746.49,749.87,735.61,718.0,3648791.0,65.7804228893,66.71,65.65,66.71,9552165.0,961.390015,2176.939941
1479196800,20.0886624204,20.18,19.6,19.79,190293076.0,107.11,107.68,106.1593,106.57,32264510.0,743.24,746.78,725.99,730.0,6755785.0,66.2467396126,67.16,65.95,66.26,9615236.0,962.280029,2180.389893
1479110400,20.008945506,20.2,19.4,19.41,320959885.0,105.71,107.809,104.08,107.32,51175504.0,719.07,746.0,710.1,745.51,7321344.0,65.41332249,67.42,65.93,67.42,8256806.0,955.340027,2164.199951
1478851200,18.9526963907,19.03,18.63,18.64,212952487.0,108.43,108.87,106.55,106.92,34143898.0,739.01,743.26,728.9,735.73,6622784.0,66.3558775691,67.0,65.84,65.87,10239827.0,958.679993,2164.449951
1478764800,18.693616419,18.99,18.25,18.26,304889621.0,107.79,111.09,105.83,111.09,57134541.0,742.38,778.83,717.7,778.81,12746994.0,65.7903445217,68.2101,64.32,67.81,17774884.0,960.400024,2167.47998
1478678400,17.9064118896,18.05,17.4,17.66,319516881.0,110.88,111.32,108.05,109.88,59176361.0,771.88,777.5,760.09,764.0,8562892.0,67.3480408103,68.09,66.25,66.63,11604410.0,959.460022,2163.26001
1478592000,16.9398443029,17.105,16.71,16.82,95702452.0,111.06,111.72,109.7,110.31,24254179.0,787.75,791.7399,779.1,784.97,3412629.0,67.7349844743,68.71,67.63,68.22,6696564.0,947.52002,2139.560059
1478505600,16.9498089172,17.04,16.85,16.86,91581902.0,110.41,110.51,109.46,110.08,32560000.0,784.93,787.732,770.94,771.64,5984354.0,67.9234954902,68.58,67.39,67.72,9205303.0,944.349976,2131.52002
1478242800,16.4914366596,16.71,16.3535,16.53,82431002.0,108.84,110.25,108.11,108.53,30836997.0,755.05,766.0,753.2301,762.79,5122103.0,66.207053083,67.41,65.74,65.74,8584254.0,923.840027,2085.179932
1478156400,16.4216843595,16.67,16.45,16.475,69655425.0,109.83,111.46,109.55,110.98,26932602.0,767.03,777.0,764.0,765.05,3872496.0,66.425328996,68.57,65.93,67.69,15642519.0,926.630005,2088.659912
1478070000,16.4216843595,16.56,16.28,16.46,119136779.0,111.013855978,112.35,111.23,111.4,28331709.0,765.56,784.75,763.55,783.93,5026504.0,66.5642318498,68.6,67.025,68.46,15183040.0,931.690002,2097.939941
1477983600,16.5512243454,16.75,16.33,16.56,88557065.0,110.914372283,113.77,110.53,113.46,43825812.0,785.41,800.84,776.713,799.0,5305428.0,67.8044359012,69.35,67.5411,69.0,8910085.0,938.359985,2111.719971
1477897200,16.4416135881,16.73,16.5,16.68,70352567.0,112.953788043,114.23,113.2,113.65,26419398.0,789.82,793.7,780.11,781.03,5413326.0,68.1814579329,69.51,68.68,69.0,10108268.0,943.869995,2126.149902
1477638000,16.6209766454,16.98,16.5,16.95,115090796.0,113.132858696,115.21,113.45,113.87,37861662.0,776.32,789.49,774.61,782.0,10841073.0,67.8639656957,70.53,67.66,70.52,17952659.0,945.320007,2126.409912
1477551600,16.8501627742,17.1,16.8644,16.95,97937253.0,113.888934783,115.86,114.1,115.39,34562045.0,818.36,831.72,815.43,831.24,7406385.0,69.5407215733,71.62,70.0,70.8,33941733.0,949.98999,2133.040039
1477465200,16.8103043171,16.87,16.62,16.64,58690167.0,114.993203804,115.7,113.31,114.31,66134219.0,822.59,833.44,820.0,832.76,3998102.0,67.6655330475,68.62,67.25,67.31,9241241.0,951.210022,2139.429932
1477378800,16.6608351026,16.82,16.68,16.71,49342342.0,117.639470109,118.36,117.31,117.95,48128970.0,835.18,843.09,833.22,839.3,3248358.0,67.1793730593,68.25,67.48,67.9,5369950.0,952.799988,2143.159912
1477292400,16.7106581741,16.8,16.61,16.75,68237544.0,117.042567935,117.74,117.0,117.1,23538673.0,838.09,838.3,822.21,824.95,4060899.0,67.5266301937,68.45,67.48,68.4,6669606.0,954.700012,2151.330078
1477033200,16.6110120311,16.67,16.4,16.46,77921403.0,115.99798913,116.91,116.28,116.81,23192665.0,818.99,819.42,809.0,809.36,2793015.0,67.3976489723,69.44,66.7,67.11,19676630.0,949.659973,2141.159912
1476946800,16.5014012739,16.63,16.41,16.45,88077661.0,116.45561413,117.38,116.33,116.86,24125801.0,810.32,815.71,803.1,813.99,3151954.0,66.8122726601,68.17,65.48,65.48,13579044.0,949.119995,2141.340088
1476860400,16.4117197452,16.53,16.28,16.3,97968987.0,116.515304348,117.76,113.8,117.25,20034594.0,817.69,820.67,815.17,820.4,2090706.0,65.2744196363,66.065,65.305,65.88,5414694.0,950.01001,2144.290039
1476774000,16.202462845,16.27,16.11,16.19,71433078.0,116.863497283,118.21,117.45,118.18,24553478.0,817.65,823.26,815.02,822.11,2512504.0,65.581990241,66.22,65.57,66.18,5966858.0,949.099976,2139.600098
1476687600,15.9932059448,16.195,15.9,16.17,101795541.0,116.943084239,117.84,116.78,117.33,23624896.0,812.95,822.0,811.68,821.5,3361492.0,64.6791216916,65.71,65.09,65.53,6348209.0,944.299988,2126.5
1476428400,15.9433828733,16.23,15.94,16.15,108815580.0,117.022671196,118.17,117.13,117.88,35652191.0,822.96,835.74,822.96,835.08,2999814.0,65.1851249446,66.59,65.45,65.94,6743106.0,946.890015,2132.97998
1476342000,15.7739844303,16.09,15.6,16.09,78636990.0,116.376027174,117.44,115.72,116.79,35192406.0,829.28,831.8,821.21,829.0,3091387.0,65.1851249446,66.06,64.3,65.55,7236603.0,946.419983,2132.550049
1476255600,15.9732767162,16.24,16.01,16.09,67144049.0,116.734168478,117.98,116.75,117.35,37586787.0,834.09,837.666,830.1,834.0,2380416.0,65.5423037114,66.49,65.06,66.49,6615721.0,949.619995,2139.179932
1476169200,16.0529936306,16.33,16.025,16.26,77348564.0,115.699538043,118.69,116.2,117.7,64041043.0,831.0,841.29,828.35,841.02,3588180.0,65.5720686086,67.09,65.45,67.0,8910597.0,949.039978,2136.72998
1476082800,16.2423213022,16.4,16.185,16.215,64158491.0,115.450828804,116.75,114.72,115.02,36235956.0,841.71,845.2,840.27,843.25,1827143.0,66.7229779684,68.58,67.06,68.34,7030377.0,959.02002,2163.659912
1475823600,16.0729228592,16.25,15.98,16.19,99597964.0,113.471103261,114.56,113.51,114.31,24358443.0,839.43,845.95,837.45,845.79,2426228.0,67.6556114151,68.33,67.49,67.53,8398099.0,955.090027,2153.73999
1475737200,16.1626043878,16.23,16.035,16.17,75838739.0,113.301980978,114.34,113.13,113.7,28779313.0,841.66,847.21,840.6,843.7,2684013.0,67.0107053083,69.32,66.23,66.8,12957165.0,956.830017,2160.77002
1475650800,16.0529936306,16.23,15.96,15.96,86056859.0,112.466317935,113.66,112.69,113.4,21453089.0,844.36,845.67,836.12,838.0,3469055.0,66.3161910395,67.42,66.55,66.84,6361993.0,956.559998,2159.72998
1475564400,15.7440905874,16.05,15.67,15.7,98501476.0,112.416576087,114.31,112.63,113.06,29736835.0,834.03,842.365,830.26,840.91,2950314.0,66.1574449209,67.7,66.56,67.7,9746412.0,952.47998,2150.48999
1475478000,15.5746921444,15.73,15.5,15.59,69864051.0,111.939054348,113.05,112.28,112.71,21701760.0,836.74,839.86,831.25,836.0,2769448.0,66.5840751146,69.28,66.87,68.08,10153594.0,956.159973,2161.199951
1475218800,15.594621373,15.73,15.17,15.26,119309179.0,112.466317935,113.37,111.8,112.46,36379106.0,837.31,839.95,832.4,832.61,4430566.0,67.9631820198,70.4,68.15,68.4,34879502.0,958.679993,2168.27002
1475132400,15.1063552725,15.5,15.06,15.38,78815768.0,111.600809783,113.8,111.8,113.16,35886990.0,829.05,837.5,824.63,828.26,4922248.0,66.9214106166,68.83,62.712,63.28,43098784.0,950.919983,2151.129883
1475046000,15.325576787,15.39,15.15,15.36,66021211.0,113.361671196,114.64,113.43,113.69,29641085.0,828.72,830.14,817.0337,818.0,4422078.0,62.9527576519,63.69,63.0,63.23,5251926.0,960.059998,2171.370117
